company,date,open,close,high,low
Amazon,2021-03-17,3073.219971,3135.72998,3173.050049,3070.219971
Amazon,2021-03-18,3101,3027.98999,3116.629883,3025
Amazon,2021-03-19,3029.22998,3074.959961,3077.290039,3016.629883
Amazon,2021-03-22,3067.850098,3110.870117,3126.580078,3060.050049
Amazon,2021-03-23,3127,3137.5,3182,3120.850098
Amazon,2021-03-24,3151.040039,3087.070068,3160.310059,3085.149902
Amazon,2021-03-25,3072.98999,3046.26001,3109.780029,3037.139893
Amazon,2021-03-26,3044.060059,3052.030029,3056.659912,2996
Amazon,2021-03-29,3055.439941,3075.72998,3091.25,3028.449951
Amazon,2021-03-30,3070.01001,3055.290039,3073,3034
Amazon,2021-03-31,3064.060059,3094.080078,3119.330078,3062.5
Amazon,2021-04-01,3117.939941,3161,3162.439941,3115.550049
Amazon,2021-04-05,3173,3226.72998,3235.959961,3161.23999
Amazon,2021-04-06,3223.75,3223.820068,3247.310059,3217.040039
Amazon,2021-04-07,3233.800049,3279.389893,3303.610107,3223.649902
Amazon,2021-04-08,3310.899902,3299.300049,3324.5,3292
Amazon,2021-04-09,3304.699951,3372.199951,3372.199951,3288.899902
Amazon,2021-04-12,3355.209961,3379.389893,3395.040039,3351.149902
Amazon,2021-04-13,3400.850098,3400,3432,3395.629883
Amazon,2021-04-14,3404.040039,3333,3404.129883,3326
Amazon,2021-04-15,3371,3379.090088,3397,3352
Amazon,2021-04-16,3380,3399.439941,3406.800049,3355.590088
Amazon,2021-04-19,3390.330078,3372.01001,3435.929932,3360.159912
Amazon,2021-04-20,3373.600098,3334.689941,3382.98999,3316
Amazon,2021-04-21,3316,3362.02002,3362.860107,3303.810059
Amazon,2021-04-22,3371.679932,3309.040039,3372.870117,3301.449951
Amazon,2021-04-23,3319.100098,3340.879883,3375,3308.5
Amazon,2021-04-26,3348,3409,3428.449951,3330.939941
Amazon,2021-04-27,3443.469971,3417.429932,3460,3398.01001
Amazon,2021-04-28,3434.800049,3458.5,3489.879883,3425
Amazon,2021-04-29,3505.100098,3471.310059,3514.449951,3435
Amazon,2021-04-30,3525.120117,3467.419922,3554,3462.5
Amazon,2021-05-03,3484.72998,3386.48999,3486.649902,3372.699951
Amazon,2021-05-04,3356.189941,3311.870117,3367.97998,3272.129883
Amazon,2021-05-05,3338.860107,3270.540039,3354.699951,3264.360107
Amazon,2021-05-06,3270,3306.370117,3314.399902,3247.199951
Amazon,2021-05-07,3319.090088,3291.610107,3330.889893,3289.070068
Amazon,2021-05-10,3282.320068,3190.48999,3283,3190
Amazon,2021-05-11,3136.280029,3223.909912,3238,3127.370117
Amazon,2021-05-12,3185,3151.939941,3207.939941,3133.100098
Amazon,2021-05-13,3185.469971,3161.469971,3203.840088,3133
Amazon,2021-05-14,3185.560059,3222.899902,3228.860107,3183
Amazon,2021-05-17,3245.929932,3270.389893,3292.75,3234.590088
Amazon,2021-05-18,3292.580078,3232.280029,3312,3230.370117
Amazon,2021-05-19,3195,3231.800049,3234.75,3184
Amazon,2021-05-20,3244.399902,3247.679932,3259.679932,3236.179932
Amazon,2021-05-21,3250,3203.080078,3256.689941,3197.01001
Amazon,2021-05-24,3215.5,3244.98999,3257.949951,3210.5
